StudentId,UoPId,2019-20 ENG LEVEL
1703054,921434,L4
1703056,921435,L4
1703058,921436,L4
1703060,921437,L4
1703061,921438,L4
1703063,921439,L4
1703065,921440,L4
1703074,921441,L4
1703086,921480,L4
1703087,921481,L4
1703089,921482,L4
1703091,921483,L4
1703093,921484,L4
1703095,921485,L4
1703096,921486,L4
1703100,921487,L4
1703104,921488,L4
1703108,921489,L4
1703111,921490,L4
1703115,921491,L4
1703120,921492,L4
1703121,921493,L4
1703122,921494,L4
1703124,921495,L4
1703128,921496,L4
1703129,921497,L4
1703132,921498,L4
1703139,921499,L4
1703144,921500,L4
1703150,921501,L4
1703158,921502,L4
1706005,921504,L4
1706012,921505,L4
1706015,921506,L4
1709002,921507,L4
1709003,921508,L4
1709004,921509,L4
1709007,921510,L4
1709010,921511,L4
1709011,921512,L4
1709012,921513,L4
1803002,921514,L4
1803059,921515,L4
1803171,921516,L4
1803196,921517,L4
1803197,921518,L4
1803208,921519,L4
1803213,921520,L4
1809003,921521,L4
1809006,921522,L4
1502060,882431,L4
1502245,882413,L4
1515025,882420,L4
1602001,921523,L4
1602023,921524,L4
1602050,921525,L4
1602070,921526,L4
1602071,921527,L4
1602087,921528,L4
1602126,921529,L4
1602127,921530,L4
1602152,921531,L4
1602154,921532,L4
1602166,921533,L4
1602173,921534,L4
1602185,921597,L4
1602192,921598,L4
1602199,921599,L4
1602201,921600,L4
1602212,921601,L4
1602220,921602,L4
1602244,921603,L4
1602250,921604,L4
1602252,921605,L4
1602254,921606,L4
1602302,921607,L4
1603045,882325,L4
1603059,921608,L4
1603121,882425,L4
1603167,921609,L4
1603178,921610,L4
1604014,921611,L4
1604017,921612,L4
1604046,921613,L4
1605039,921614,L4
1701003,921616,L4
1701005,921620,L4
1701008,921621,L4
1701015,921622,L4
1702078,921623,L4
1702327,921624,L4
1703162,921625,L4
1704075,921626,L4
1705013,921627,L4
1705026,921628,L4
1705052,921629,L4
1705075,921630,L4
1705090,921631,L4
1801003,921632,L4
1801004,921633,L4
1801006,921634,L4
1805033,921635,L4
140228,843341,L4
1504005,882459,L4
1504016,882457,L4
1514043,882460,L4
1514047,882450,L4
1604001,921636,L4
1604003,921637,L4
1604005,921638,L4
1604006,921639,L4
1604007,921640,L4
1604013,921641,L4
1604015,921642,L4
1604016,921643,L4
1604021,921644,L4
1604025,921663,L4
1604029,921664,L4
1604034,921665,L4
1604036,921666,L4
1604037,921667,L4
1604039,921668,L4
1604045,921669,L4
1604047,921670,L4
1604049,921671,L4
1604051,921672,L4
1604054,921673,L4
1604057,921674,L4
1604061,921675,L4
1604067,921676,L4
1604068,921677,L4
1604070,921678,L4
1604073,921679,L4
1604080,921680,L4
1604081,921681,L4
1604082,882456,L4
1604088,882443,L4
1604099,882462,L4
1604102,921683,L4
1604106,921684,L4
1606006,921685,L4
1606015,921686,L4
1606017,921687,L4
1704001,921688,L4
1704002,921689,L4
1704003,921690,L4
1704004,921691,L4
1704005,921692,L4
1704006,921694,L4
1704007,921695,L4
1704009,921696,L4
1704015,921697,L4
1704026,921700,L4
1704027,921701,L4
1704030,921702,L4
1704032,921703,L4
1704036,921704,L4
1704042,921706,L4
1704051,921707,L4
1704057,921708,L4
1704059,921709,L4
1704061,921710,L4
1704064,921711,L4
1704069,921712,L4
1704071,921713,L4
1704077,921714,L4
1704078,921715,L4
1704085,921716,L4
1704089,921717,L4
1704090,921718,L4
1704100,921720,L4
1704102,921721,L4
1704104,921722,L4
1704110,921724,L4
1706009,921726,L4
1804046,921727,L4
1804050,921728,L4
140015,843375,L4
1502012,882539,L4
1502024,882557,L4
1502028,882544,L4
1502111,882547,L4
1502137,882611,L4
1502140,882619,L4
1502188,882617,L4
1502228,882616,L4
1503044,882572,L4
1503109,882527,L4
1505015,882591,L4
1512246,882575,L4
1601004,921743,L4
1602005,921745,L4
1602007,921746,L4
1602009,921747,L4
1602016,921748,L4
1602039,921751,L4
1602040,921752,L4
1602042,921753,L4
1602049,921755,L4
1602063,882600,L4
1602076,921759,L4
1602093,921760,L4
1602114,921762,L4
1602121,921763,L4
1602122,921764,L4
1602135,921765,L4
1602136,921766,L4
1602143,921767,L4
1602150,921769,L4
1602158,921770,L4
1602171,921772,L4
1602178,921773,L4
1602180,921774,L4
1602184,921775,L4
1602187,921776,L4
1602197,921777,L4
1602202,921778,L4
1602208,921802,L4
1602210,921803,L4
1602215,921804,L4
1602222,921805,L4
1602245,921807,L4
1602248,921808,L4
1602257,921809,L4
1602264,921810,L4
1602289,882516,L4
1602294,921815,L4
1602298,921816,L4
1602303,921817,L4
1602304,921818,L4
1602307,921819,L4
1602311,921821,L4
1603002,921822,L4
1603003,921823,L4
1603020,921824,L4
1603024,882601,L4
1603027,921825,L4
1603028,921826,L4
1603029,921827,L4
1603030,921829,L4
1603033,882626,L4
1603053,921831,L4
1603066,921832,L4
1603069,921833,L4
1603072,921835,L4
1603076,921837,L4
1603077,921838,L4
1603078,921851,L4
1603086,921852,L4
1603093,921853,L4
1603094,921854,L4
1603097,921855,L4
1603101,921856,L4
1603103,921857,L4
1603106,921858,L4
1603111,921859,L4
1603116,882555,L4
1603122,921860,L4
1603130,882618,L4
1603138,921862,L4
1603148,921863,L4
1603158,921864,L4
1603166,921865,L4
1603170,921866,L4
1603174,921867,L4
1603177,921868,L4
1603179,921869,L4
1603184,921870,L4
1603185,921871,L4
1603187,882535,L4
1603190,921872,L4
1605001,921873,L4
