EXAM_TITLE,MCODE,AY,TERM,STUDENT_ID,EXAM_HALL,SEAT_NO,TIME,DAY_DATE_DISPLAY,DATE,CLASS,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804014,Exhibition,G7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804023,Exhibition,G11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804031,Exhibition,G13,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM11,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802018,Exhibition,A6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802020,Exhibition,A7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802026,Exhibition,A8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802058,Exhibition,A18,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802085,Exhibition,B5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802114,Exhibition,B15,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802118,Exhibition,B17,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802136,Exhibition,C4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802195,Exhibition,C20,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802201,Exhibition,D1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802210,Exhibition,D5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802231,Exhibition,D9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802277,Exhibition,E7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803062,Exhibition,E19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803071,Exhibition,E21,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803075,Exhibition,E22,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803081,Exhibition,F2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803123,Exhibition,F7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803143,Exhibition,F12,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803166,Exhibition,F16,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803180,Exhibition,F19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803193,Exhibition,F21,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804017,Exhibition,G9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804020,Exhibition,G10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1805016,Exhibition,G19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM12,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802001,Exhibition,A1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802005,Exhibition,A2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802014,Exhibition,A5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802048,Exhibition,A13,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802059,Exhibition,A19,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802061,Exhibition,A20,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802074,Exhibition,B2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802082,Exhibition,B4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802093,Exhibition,B7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802179,Exhibition,C16,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802247,Exhibition,D14,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802264,Exhibition,D22,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802275,Exhibition,E6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803011,Exhibition,E10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803060,Exhibition,E18,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803067,Exhibition,E20,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803115,Exhibition,F5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803118,Exhibition,F6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803139,Exhibition,F10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803162,Exhibition,F15,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804011,Exhibition,G5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM13,,,,
